学齢,教科,単元名,学年,動画番号,動画ID,動画名,字幕ファイルURL
小学,算数(さんすう),10までのかず,小１,1,2861,1から5までのかず,/subtitles/2861.vtt
小学,算数(さんすう),10までのかず,小１,2,2862,6から10までのかず、0（れい）,/subtitles/2862.vtt
小学,算数(さんすう),10までのかず,小１,3,2863,かずをわける,/subtitles/2863.vtt
小学,算数(さんすう),たしざん,小１,1,2864,たしざん,/subtitles/2864.vtt
小学,算数(さんすう),たしざん,小１,2,2865,たしざんのしき,/subtitles/2865.vtt
小学,算数(さんすう),たしざん,小１,3,2866,たしざんのれんしゅう,/subtitles/2866.vtt
小学,算数(さんすう),ひきざん,小１,1,2867,ひきざん,/subtitles/2867.vtt
小学,算数(さんすう),ひきざん,小１,2,2868,ひきざん２,/subtitles/2868.vtt
小学,算数(さんすう),ひきざん,小１,3,2869,ひきざんのれんしゅう,/subtitles/2869.vtt
小学,算数(さんすう),20までのかず,小１,1,2870,20までのかず,/subtitles/2870.vtt
小学,算数(さんすう),20までのかず,小１,2,2871,20までのたしざん、ひきざん,/subtitles/2871.vtt
小学,算数(さんすう),20までのかず,小１,3,2872,20までのたしざん、ひきざん：れんしゅう,/subtitles/2872.vtt
小学,算数(さんすう),20までのかず,小１,4,2873,３つのかずのたしざん、ひきざん,/subtitles/2873.vtt
小学,算数(さんすう),20までのかず,小１,5,2874,３つのかずのたしざん、ひきざん：れんしゅう,/subtitles/2874.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,1,2876,10よりおおきくなる たしざん,/subtitles/2876.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,2,2875,10よりおおきくなる たしざん：れんしゅう,/subtitles/2875.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,3,2877,くりさがりのある ひきざん,/subtitles/2877.vtt
小学,算数(さんすう),10よりおおきいたしざん、ひきざん,小１,4,2878,くりさがりのある ひきざん：れんしゅう,/subtitles/2878.vtt
小学,算数(さんすう),100までのかず,小１,1,2879,２けたのかずとくらい,/subtitles/2879.vtt
小学,算数(さんすう),100までのかず,小１,2,2880,100までのかず,/subtitles/2880.vtt
小学,算数(さんすう),100までのかず,小１,3,2881,100より おおきいかず,/subtitles/2881.vtt
小学,算数(さんすう),100までのたしざん、ひきざん,小１,1,2947,100までのかずのたしざん、ひきざん①,/subtitles/2947.vtt
小学,算数(さんすう),100までのたしざん、ひきざん,小１,2,2948,100までのかずのたしざん、ひきざん②,/subtitles/2948.vtt
小学,算数(さんすう),100までのたしざん、ひきざん,小１,3,2949,100までのかずのたしざん、ひきざん：れんしゅう,/subtitles/2949.vtt
小学,算数(さんすう),とけいをよむ,小１,1,4473,とけいの よみかた,/subtitles/4473.vtt
小学,算数(さんすう),とけいをよむ,小１,2,4474,とけいの よみかた：れんしゅう,/subtitles/4474.vtt
小学,算数(さんすう),たしざん、ひきざんのぶんしょうだい,小１,1,2884,たしざんとひきざんのぶんしょうだい①,/subtitles/2884.vtt
小学,算数(さんすう),たしざん、ひきざんのぶんしょうだい,小１,2,2883,たしざんとひきざんのぶんしょうだい②,/subtitles/2883.vtt
小学,算数(さんすう),たしざん、ひきざんのぶんしょうだい,小１,3,2882,たしざんとひきざんのぶんしょうだい③,/subtitles/2882.vtt
小学,算数(さんすう),グラフとひょう,小２,1,4475,グラフとひょうで あらわそう,/subtitles/4475.vtt
小学,算数(さんすう),グラフとひょう,小２,2,4476,グラフとひょうで あらわそう：れんしゅう,/subtitles/4476.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,1,2890,たしざん：２けた＋１けた（くりあがりなし）,/subtitles/2890.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,2,2903,たしざん：２けた＋２けた（一のくらいが0）,/subtitles/2903.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,3,2902,たしざん：れんしゅう①,/subtitles/2902.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,4,2900,たしざん：２けた＋１けた（くりあがりあり）①,/subtitles/2900.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,5,2901,たしざん：２けた＋１けた（くりあがりあり）②,/subtitles/2901.vtt
小学,算数(さんすう),２けた+１けたのたしざん,小２,6,2899,たしざん：れんしゅう②,/subtitles/2899.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,1,2898,ひきざん：２けた－１けた（くりさがりなし）,/subtitles/2898.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,2,2897,ひきざん：２けた－２けた（一のくらいが0）,/subtitles/2897.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,3,2895,ひきざん：れんしゅう①,/subtitles/2895.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,4,2896,ひきざん：２けた－１けた（くりさがりあり）①,/subtitles/2896.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,5,2894,ひきざん：２けた－１けた（くりさがりあり）②,/subtitles/2894.vtt
小学,算数(さんすう),２けた－１けたのひきざん,小２,6,2893,ひきざん：れんしゅう②,/subtitles/2893.vtt
小学,算数(さんすう),２けたのひっさん,小２,1,2915,２けたのひっ算,/subtitles/2915.vtt
